Address,Zone_Class
SUNSHINE SKYWAY LN S,CCS-1
3326-3398 PINELLAS POINT DR S,CCS-1
2801 16TH ST N,CRT-1
1609 29TH AVE N,CRT-1
2806 16TH ST N,CRT-1
2730 16TH ST N,CRT-1
1608 29TH AVE N,CRT-1
2835 16TH ST N,CRT-1
2727 16TH ST N,CRT-1
2820 16TH ST N,CRT-1
1524 29TH AVE N,CRT-1
1525 29TH AVE N,CRT-1
2905 16TH ST N,CRT-1
735 5TH ST N,NT-4
433 7TH AVE N,NT-4
542 5TH ST N,NT-4
545 5TH ST N,NT-4
537 5TH ST N,NT-4
700 5TH ST N,NT-4
521 5TH ST N,NT-4
510 5TH ST N,NT-4
454 6TH AVE N,NT-4
736 DARTMOOR ST N,NT-4
500 7TH AVE N,NT-4
728 5TH ST N,NT-4
534 5TH ST N,NT-4
736 5TH ST N,NT-4
445 7TH AVE N,NT-4
515 5TH ST N,NT-4
525 6TH AVE N,NT-4
501 6TH AVE N,NT-4
432 8TH AVE N,NT-4
465 7TH AVE N,NT-4
522 5TH ST N,NT-4
506 8TH AVE N,NT-4
526 5TH ST N,NT-4
610 5TH ST N,NT-4
729 5TH ST N,NT-4
536 DARTMOOR ST N,NT-4
628 5TH ST N,NT-4
727 DARTMOOR ST N,NT-4
726 DARTMOOR ST N,NT-4
516 7TH AVE N,NT-4
710 5TH ST N,NT-4
527 5TH ST N,NT-4
620 5TH ST N,NT-4
434 8TH AVE N,NT-4
717 DARTMOOR ST N,NT-4
493 7TH AVE N,NT-4
715 5TH ST N,NT-4
721 5TH ST N,NT-4
512 DARTMOOR ST N,NT-4
718 5TH ST N,NT-4
524 7TH AVE N,NT-4
528 DARTMOOR ST N,NT-4
400 45TH AVE S,CCS-1
575 45TH AVE S,CCT-1
4350 6TH ST S,CCT-1
4142 6TH ST S,CCS-1
3311 33RD AVE N,CRS-1
3312 34TH AVE N,CRS-1
3322 35TH AVE N,CRS-1
3301 30TH AVE N,CRS-1
3310 33RD ST N,CRS-1
3200 33RD ST N,CRS-1
3160 33RD ST N,CRS-1
3328 34TH AVE N,CRS-1
3500 33RD ST N,CRS-1
3301 34TH AVE N,CRS-1
3301 31ST AVE N,CRS-1
3315 31ST AVE N,CRS-1
3311 34TH AVE N,CRS-1
3300 34TH AVE N,CRS-1
3321 30TH AVE N,CRS-1
3300 33RD AVE N,CRS-1
3311 30TH AVE N,CRS-1
3312 31ST AVE N,CRS-1
3320 34TH AVE N,CRS-1
3312 32ND AVE N,CRS-1
3313 31ST AVE N,CRS-1
3327 33RD AVE N,CRS-1
3312 33RD AVE N,CRS-1
3030 33RD ST N,CRS-1
3745 33RD ST N,CRS-1
155 5TH AVE N,CRT-1
147 5TH AVE NE,CRT-1
319 5TH AVE N,CRT-1
500 1ST ST N,CRT-1
253 5TH AVE N,CRT-1
205 5TH AVE N,CRT-1
516 BEACH DR NE,CRT-1
109 5TH AVE N,CRT-1
103 5TH AVE N,CRT-1
153 5TH AVE NE,CRT-1
127 5TH AVE N,CRT-1
500 3RD ST N,CRT-1
141 5TH AVE NE,CRT-1
135 5TH AVE N,CRT-1
125 5TH AVE N,CRT-1
AUTHORIZED APPLIANCE REPAIR COMPANY,CRT-1
157 5TH AVE NE,CRT-1
119 5TH AVE N,CRT-1
123 5TH AVE N,CRT-1
111 5TH AVE N,CRT-1
107 5TH AVE N,CRT-1
143 5TH AVE NE,CRT-1
151 5TH AVE NE,CRT-1
525 2ND ST N,CRT-1
115 5TH AVE N,CRT-1
225 5TH AVE NE,CRT-1
221 5TH AVE N,CRT-1
524 BAY ST NE,CRT-1
524 3RD ST N,CRT-1
145 5TH AVE NE,CRT-1
524 BEACH DR NE,CRT-1
215 5TH AVE NE,CRT-1
145 5TH AVE N,CRT-1
121 5TH AVE N,CRT-1
117 5TH AVE N,CRT-1
105 5TH AVE N,CRT-1
113 5TH AVE N,CRT-1
500 BEACH DR NE,CRT-1
508 BEACH DR NE,CRT-1
155 5TH AVE NE,CRT-1
211 5TH AVE N,CRT-1
309 5TH AVE N,CRT-1
125 5TH AVE NE,CRT-1
105 5TH AVE NE,CRT-1
115 5TH AVE NE,CRT-1
1901 ULMERTON RD ,CCS-1
3520 38TH AVE N,CRS-1
3500 38TH AVE N,CRS-1
100 MAIN ST N,RC-2
140 CARILLON PKWY ,RC-2
130 FOUNTAIN PKWY N,RC-2
120 CARILLON PKWY ,RC-2
10801 ROOSEVELT BLVD ,CCS-2
1215 119TH TER N,CRS-2
1123 118TH TER N,CRS-2
1139 118TH TER N,CRS-2
11920 10TH LN N,CRS-2
11804 13TH WAY N,CRS-2
11919 13TH WAY N,CRS-2
1227 119TH TER N,CRS-2
1145 119TH TER N,CRS-2
1065 118TH TER N,CRS-2
1108 118TH TER N,CRS-2
1219 119TH TER N,CRS-2
1087 119TH TER N,CRS-2
1071 119TH TER N,CRS-2
1204 118TH TER N,CRS-2
1117 119TH TER N,CRS-2
1136 119TH TER N,CRS-2
1115 118TH TER N,CRS-2
11816 13TH WAY N,CRS-2
11903 13TH WAY N,CRS-2
1072 118TH TER N,CRS-2
1119 118TH TER N,CRS-2
11849 13TH WAY N,CRS-2
11924 10TH LN N,CRS-2
11907 13TH WAY N,CRS-2
1212 118TH TER N,CRS-2
1151 118TH TER N,CRS-2
11853 13TH WAY N,CRS-2
11848 13TH WAY N,CRS-2
1205 119TH TER N,CRS-2
1079 119TH TER N,CRS-2
1146 118TH TER N,CRS-2
1124 118TH TER N,CRS-2
1114 119TH TER N,CRS-2
1107 119TH TER N,CRS-2
1209 119TH TER N,CRS-2
1141 119TH TER N,CRS-2
1147 118TH TER N,CRS-2
1220 118TH TER N,CRS-2
11840 13TH WAY N,CRS-2
1077 118TH TER N,CRS-2
1084 118TH TER N,CRS-2
1208 118TH TER N,CRS-2
1224 118TH TER N,CRS-2
1064 118TH TER N,CRS-2
1143 118TH TER N,CRS-2
1150 118TH TER N,CRS-2
11808 13TH WAY N,CRS-2
11837 13TH WAY N,CRS-2
1155 118TH TER N,CRS-2
1148 119TH TER N,CRS-2
1153 119TH TER N,CRS-2
1223 119TH TER N,CRS-2
1149 119TH TER N,CRS-2
1105 118TH TER N,CRS-2
1075 119TH TER N,CRS-2
11841 13TH WAY N,CRS-2
1134 118TH TER N,CRS-2
1081 118TH TER N,CRS-2
11904 10TH LN N,CRS-2
11922 13TH WAY N,CRS-2
11908 10TH LN N,CRS-2
1126 119TH TER N,CRS-2
11844 13TH WAY N,CRS-2
1129 119TH TER N,CRS-2
1127 118TH TER N,CRS-2
1073 118TH TER N,CRS-2
1104 118TH TER N,CRS-2
1112 118TH TER N,CRS-2
11820 13TH WAY N,CRS-2
1076 118TH TER N,CRS-2
1118 119TH TER N,CRS-2
1110 119TH TER N,CRS-2
1142 118TH TER N,CRS-2
1116 118TH TER N,CRS-2
11845 13TH WAY N,CRS-2
1216 118TH TER N,CRS-2
11915 13TH WAY N,CRS-2
1111 119TH TER N,CRS-2
11906 13TH WAY N,CRS-2
1137 119TH TER N,CRS-2
1154 118TH TER N,CRS-2
11926 13TH WAY N,CRS-2
1140 119TH TER N,CRS-2
1120 118TH TER N,CRS-2
1085 118TH TER N,CRS-2
1138 118TH TER N,CRS-2
11916 10TH LN N,CRS-2
11911 13TH WAY N,CRS-2
11800 DR ML KING JR ST N,CRS-2
1067 119TH TER N,CRS-2
11912 10TH LN N,CRS-2
1156 119TH TER N,CRS-2
1152 119TH TER N,CRS-2
11923 13TH WAY N,CRS-2
11914 13TH WAY N,CRS-2
11910 13TH WAY N,CRS-2
11918 13TH WAY N,CRS-2
11812 13TH WAY N,CRS-2
1068 118TH TER N,CRS-2
1122 119TH TER N,CRS-2
1135 118TH TER N,CRS-2
1157 119TH TER N,CRS-2
11836 13TH WAY N,CRS-2
1080 118TH TER N,CRS-2
1121 119TH TER N,CRS-2
11824 13TH WAY N,CRS-2
11832 13TH WAY N,CRS-2
1069 118TH TER N,CRS-2
11833 13TH WAY N,CRS-2
1144 119TH TER N,CRS-2
1109 118TH TER N,CRS-2
11852 13TH WAY N,CRS-2
1125 119TH TER N,CRS-2
1083 119TH TER N,CRS-2
1106 119TH TER N,CRS-2
11300 4TH ST N,CCS-1
11100 4TH ST N,CCS-1
11200 4TH ST N,CCS-1
11270 4TH ST N,CCS-1
901 16TH ST N,CRS-1
SL & SONS,CRS-1
1401 9TH AVE N,CRS-1
3089 EXECUTIVE DR ,CCS-1
2325 ULMERTON RD ,CCS-1
2311 ULMERTON RD ,CCS-1
2577 ULMERTON RD ,CCS-1
2575 ULMERTON RD ,CCS-1
3245 EXECUTIVE DR ,CCS-1
2727 ULMERTON RD ,CCS-1
2675 ULMERTON RD ,CCS-1
2800-2810 EXECUTIVE DR,CCS-1
2861 EXECUTIVE DR ,CCS-1
2841 EXECUTIVE DR ,CCS-1
3131 EXECUTIVE DR ,CCS-1
2755 ULMERTON RD ,CCS-1
2849 EXECUTIVE DR ,CCS-1
2865 EXECUTIVE DR ,CCS-1
3301 ULMERTON RD ,CCS-1
3211 EXECUTIVE DR ,CCS-1
2857 EXECUTIVE DR ,CCS-1
3001 EXECUTIVE DR ,CCS-1
3335 ULMERTON RD ,CCS-1
PLANNING TECHNOLOGY,CCS-1
33716,CCS-1
10540 16TH ST N,CCS-1
I-275 N,CCS-1
2825 5TH AVE S,CCT-1
2730 5TH AVE S,CCT-1
2750 5TH AVE S,CCT-1
2718 5TH AVE S,CCT-1
2706 5TH AVE S,CCT-1
525 27TH ST S,CCT-1
2724 5TH AVE S,CCT-1
2712 5TH AVE S,CCT-1
2701 5TH AVE S,CCT-1
502 28TH ST S,CCT-1
2752 5TH AVE S,CCT-1
2736 5TH AVE S,CCT-1
2700 5TH AVE S,CCT-1
2742 5TH AVE S,CCT-1
2748 5TH AVE S,CCT-1
2727 5TH AVE S,CCT-1
2753 5TH AVE S,CCT-1
2758 5TH AVE S,CCT-1
1712 28TH ST N,CCT-1
1738 28TH ST N,CCT-1
1739 28TH ST N,CCT-1
1702 28TH ST N,CCT-1
1721 28TH ST N,CCT-1
1725 28TH ST N,CCT-1
3403 49TH ST N,CRS-1
3247 49TH ST N,CRS-1
4900 33RD AVE N,CRS-1
3001 49TH ST N,CRS-1
2945 49TH ST N,CRS-1
3300 49TH ST N,CRS-1
3201 49TH ST N,CRS-1
3320 49TH ST N,CRS-1
3237 49TH ST N,CRS-1
3128 49TH ST N,CRS-1
3113 49TH ST N,CRS-1
3020 49TH ST N,CRS-1
4829 29TH AVE N,CRS-1
2942 49TH ST N,CRS-1
2900 49TH ST N,CRS-1
2909 49TH ST N,CRS-1
3301 49TH ST N,CRS-1
3321 49TH ST N,CRS-1
2918 49TH ST N,CRS-1
3000 49TH ST N,CRS-1
2917 49TH ST N,CRS-1
3229 49TH ST N,CRS-1
3129 49TH ST N,CRS-1
3212 49TH ST N,CRS-1
3100 49TH ST N,CRS-1
3120 49TH ST N,CRS-1
4845 31ST AVE N,CRS-1
3221 49TH ST N,CRS-1
3121 49TH ST N,CRS-1
3401 49TH ST N,CRS-1
3228 49TH ST N,CRS-1
3347 49TH ST N,CRS-1
3039 49TH ST N,CRS-1
3146 49TH ST N,CRS-1
3423 49TH ST N,CRS-1
3200 49TH ST N,CRS-1
3388 49TH ST N,CRS-1
3328 49TH ST N,CRS-1
110 FOUNTAIN PKWY N,RC-2
2929 28TH ST N,CCT-1
3115 28TH ST N,CCT-1
3031 28TH ST N,CCT-1
3103 28TH ST N,CCT-1
3001 28TH ST N,CCT-1
3021 28TH ST N,CCT-1
3125 28TH ST N,CCT-1
METABANK,CCT-1
2913 28TH ST N,CCT-1
2801 9TH AVE N,CCT-1
2736 9TH AVE N,CCT-1
838 28TH ST N,CCT-1
2811 9TH AVE N,CCT-1
2749 9TH AVE N,CCT-1
830 28TH ST N,CCT-1
540 TRINITY LN ,CRS-2
10051 5TH ST N,CCS-1
9939 4TH ST N,CCS-1
9887 4TH ST N,CCS-1
9800 4TH ST N,CCS-1
9999 GANDY BLVD N,CCS-1
9900 4TH ST N,CCS-1
9901 4TH ST N,CCS-1
10020 GANDY BLVD N,CCS-1
4TH ST N,CCS-1
10021 4TH ST N,CCS-1
9952 GANDY BLVD N,CCS-1
10056 GANDY BLVD N,CCS-1
10000 GANDY BLVD N,CCS-1
445 99TH AVE N,CCS-1
320 NORTHEAST BLVD N,CCT-1
134 SE JEFFERSON CIR N,CCT-1
301 62ND AVE N,CCT-1
6201 4TH ST N,CCT-1
136 SE JEFFERSON CIR N,CCT-1
132 SE JEFFERSON CIR N,CCT-1
300 NORTHEAST BLVD N,CCT-1
6151 4TH ST N,CCT-1
SE WASHINGTON CIR N,CCT-1
138 SE JEFFERSON CIR N,CCT-1
438 62ND AVE N,CCT-1
218 SE JEFFERSON CIR N,CCT-1
347 62ND AVE N,CCT-1
400-420 SOUTHWEST BLVD N,CCT-1
321 62ND AVE N,CCT-1
431 SOUTHWEST BLVD N,CCT-1
327 62ND AVE N,CCT-1
202 NW JEFFERSON CIR N,CCT-1
311 SOUTHEAST BLVD N,CCT-1
322 SOUTHEAST BLVD N,CCT-1
BP,CCT-1
231 62ND AVE N,CCT-1
310 62ND AVE N,CCT-1
401-411 62ND AVE N,CCT-1
200 NW JEFFERSON CIR N,CCT-1
6225 4TH ST N,CCT-1
6245 4TH ST N,CCT-1
6100 4TH ST N,CCT-1
420 62ND AVE N,CCT-1
200 SE JEFFERSON CIR N,CCT-1
321 SOUTHEAST BLVD N,CCT-1
320 62ND AVE N,CCT-1
6111 4TH ST N,CCT-1
311 NORTHEAST BLVD N,CCT-1
125 SW JEFFERSON CIR N,CCT-1
6121 4TH ST N,CCT-1
6220 4TH ST N,CCT-1
121 NE JEFFERSON CIR N,CCT-1
310 NORTHEAST BLVD N,CCT-1
413 62ND AVE N,CCT-1
6101 4TH ST N,CCT-1
236 NW JEFFERSON CIR N,CCT-1
6161 4TH ST N,CCT-1
3958 ELKCAM BLVD SE,CCS-1
701 49TH ST N,CCS-1
725 49TH ST N,CCS-1
735 49TH ST N,CCS-1
5025 9TH AVE N,CCS-1
4947 7TH AVE N,CCS-1
900 49TH ST N,CCS-1
800 49TH ST N,CCS-1
715 49TH ST N,CCS-1
825 49TH ST N,CCS-1
975 50TH ST N,CCS-1
4909-4943 7TH AVE N,CCS-1
811 49TH ST N,CCS-1
5001 9TH AVE N,CCS-1
801 49TH ST N,CCS-1
945 49TH ST N,CCS-1
5033 9TH AVE N,CCS-1
850 49TH ST N,CCS-1
5831 8TH AVE N,CCS-1
5900 9TH AVE N,CCS-1
901 TYRONE BLVD N,CCS-1
5901 9TH AVE N,CCS-1
5838 9TH AVE N,CCS-1
6159 9TH AVE N,CCS-1
800 58TH ST N,CCS-1
5820 9TH AVE N,CCS-1
855 TYRONE BLVD N,CCS-1
5800 9TH AVE N,CCS-1
1050 58TH ST N,CCS-1
5830 9TH AVE N,CCS-1
5846 9TH AVE N,CCS-1
1100 TYRONE BLVD N,CCS-1
5922 9TH AVE N,CCS-1
801 59TH ST N,CCS-1
1000 TYRONE BLVD N,CCS-1
500 TYRONE BLVD N,CRS-1
700 TYRONE BLVD N,CRS-1
PROFESSIONAL URGENT CARE SERVICES,CRS-1
5908 7TH AVE N,CRS-1
600 TYRONE BLVD N,CRS-1
640 TYRONE BLVD N,CRS-1
530 TYRONE BLVD ,CRS-1
2121 5TH ST N,NTM-1
442 22ND AVE N,NTM-1
454 22ND AVE N,NTM-1
475 22ND AVE N,NTM-1
1810 13TH AVE N,NTM-1
1834 13TH AVE N,NTM-1
1854 13TH AVE N,NTM-1
1230 QUEEN ST N,NTM-1
1830 13TH AVE N,NTM-1
1766 13TH AVE N,NTM-1
1758 13TH AVE N,NTM-1
1800 13TH AVE N,NTM-1
1728 13TH AVE N,NTM-1
1700 13TH AVE N,NTM-1
1780 13TH AVE N,NTM-1
1826 13TH AVE N,NTM-1
1740 13TH AVE N,NTM-1
1750 13TH AVE N,NTM-1
1135 9TH AVE N,NTM-1
1145 9TH AVE N,NTM-1
1207 9TH AVE N,NTM-1
1314 9TH AVE N,NTM-1
1315 9TH AVE N,NTM-1
1215 9TH AVE N,NTM-1
1418 9TH AVE N,NTM-1
1302 9TH AVE N,NTM-1
919 14TH ST N,NTM-1
1512 9TH AVE N,NTM-1
1127 9TH AVE N,NTM-1
1310 9TH AVE N,NTM-1
1225 9TH AVE N,NTM-1
1101 9TH AVE N,NTM-1
1410 9TH AVE N,NTM-1
1424 9TH AVE N,NTM-1
1312 9TH AVE N,NTM-1
1113 9TH AVE N,NTM-1
928 13TH ST N,NTM-1
1500 9TH AVE N,NTM-1
1510 9TH AVE N,NTM-1
1504 9TH AVE N,NTM-1
1011 9TH AVE N,NTM-1
1045 9TH AVE N,NTM-1
1071 9TH AVE N,NTM-1
1061 9TH AVE N,NTM-1
2495 13TH AVE N,NTM-1
1219 28TH ST N,NTM-1
1029 28TH ST N,NTM-1
2595 13TH AVE N,NTM-1
1600 28TH ST N,NTM-1
1434 28TH ST N,NTM-1
2301 13TH AVE N,NTM-1
2319 13TH AVE N,NTM-1
1137 28TH ST N,NTM-1
2835 13TH AVE N,NTM-1
2738 13TH AVE N,NTM-1
2467 13TH AVE N,NTM-1
2649 13TH AVE N,NTM-1
2855 13TH AVE N,NTM-1
2561 13TH AVE N,NTM-1
1141 28TH ST N,NTM-1
2635 13TH AVE N,NTM-1
1526 28TH ST N,NTM-1
2459 13TH AVE N,NTM-1
2435 13TH AVE N,NTM-1
2553 13TH AVE N,NTM-1
2620 13TH AVE N,NTM-1
2859 13TH AVE N,NTM-1
2875 13TH AVE N,NTM-1
2710 13TH AVE N,NTM-1
945 28TH ST N,NTM-1
1310 28TH ST N,NTM-1
1510 28TH ST N,NTM-1
2827 13TH AVE N,NTM-1
1534 28TH ST N,NTM-1
1308 28TH ST N,NTM-1
1418 28TH ST N,NTM-1
1011 28TH ST N,NTM-1
925 28TH ST N,NTM-1
2601 13TH AVE N,NTM-1
2483 13TH AVE N,NTM-1
935 28TH ST N,NTM-1
2327 13TH AVE N,NTM-1
2865 13TH AVE N,NTM-1
2545 13TH AVE N,NTM-1
2201 13TH AVE N,NTM-1
1326 28TH ST N,NTM-1
2700 13TH AVE N,NTM-1
1121 28TH ST N,NTM-1
2227 13TH AVE N,NTM-1
2475 13TH AVE N,NTM-1
1618 28TH ST N,NTM-1
2221 13TH AVE N,NTM-1
2731 13TH AVE N,NTM-1
2707 13TH AVE N,NTM-1
1518 28TH ST N,NTM-1
921 28TH ST N,NTM-1
2883 13TH AVE N,NTM-1
955 28TH ST N,NTM-1
2638 13TH AVE N,NTM-1
1280 26TH ST N,NTM-1
1400 28TH ST N,NTM-1
1101 28TH ST N,NTM-1
2609 13TH AVE N,NTM-1
2720 13TH AVE N,NTM-1
2577 13TH AVE N,NTM-1
1300 24TH ST N,NTM-1
1634 28TH ST N,NTM-1
1225 28TH ST N,NTM-1
2891 13TH AVE N,NTM-1
2843 13TH AVE N,NTM-1
2585 13TH AVE N,NTM-1
2243 13TH AVE N,NTM-1
2716 13TH AVE N,NTM-1
1035 28TH ST N,NTM-1
1001 28TH ST N,NTM-1
2235 13TH AVE N,NTM-1
2445 13TH AVE N,NTM-1
1500 28TH ST N,NTM-1
1117 28TH ST N,NTM-1
2419 13TH AVE N,NTM-1
2537 13TH AVE N,NTM-1
2411 13TH AVE N,NTM-1
1424 28TH ST N,NTM-1
2701 13TH AVE N,NTM-1
1321 28TH ST N,NTM-1
1401 28TH ST N,NTM-1
1338 28TH ST N,NTM-1
2575 13TH AVE N,NTM-1
1125 28TH ST N,NTM-1
2625 13TH AVE N,NTM-1
2311 13TH AVE N,NTM-1
2630 13TH AVE N,NTM-1
2427 13TH AVE N,NTM-1
1201 28TH ST N,NTM-1
2610 13TH AVE N,NTM-1
2821 13TH AVE N,NTM-1
1610 28TH ST N,NTM-1
1021 28TH ST N,NTM-1
2341 13TH AVE N,NTM-1
1300 28TH ST N,NTM-1
1415 28TH ST N,NTM-1
1626 28TH ST N,NTM-1
2515 13TH AVE N,NTM-1
2725 13TH AVE N,NTM-1
2531 13TH AVE N,NTM-1
2719 13TH AVE N,NTM-1
2525 13TH AVE N,NTM-1
2523 13TH AVE N,NTM-1
2621 9TH AVE N,NTM-1
2601 9TH AVE N,NTM-1
2310 9TH AVE N,NTM-1
2434 9TH AVE N,NTM-1
2420 9TH AVE N,NTM-1
2441 9TH AVE N,NTM-1
2620 9TH AVE N,NTM-1
2720 9TH AVE N,NTM-1
2708 9TH AVE N,NTM-1
2250 9TH AVE N,NTM-1
2400 9TH AVE N,NTM-1
2521 9TH AVE N,NTM-1
830 22ND ST N,NTM-1
2454 9TH AVE N,NTM-1
2401 9TH AVE N,NTM-1
2258 9TH AVE N,NTM-1
2501 9TH AVE N,NTM-1
2537 9TH AVE N,NTM-1
2330 9TH AVE N,NTM-1
2348 9TH AVE N,NTM-1
2481 9TH AVE N,NTM-1
2715 9TH AVE N,NTM-1
2700 9TH AVE N,NTM-1
2417 9TH AVE N,NTM-1
2411 9TH AVE N,NTM-1
2636 9TH AVE N,NTM-1
2410 9TH AVE N,NTM-1
2465 9TH AVE N,NTM-1
2635 9TH AVE N,NTM-1
2342 9TH AVE N,NTM-1
2226 9TH AVE N,NTM-1
2242 9TH AVE N,NTM-1
2210 9TH AVE N,NTM-1
2547 9TH AVE N,NTM-1
2473 9TH AVE N,NTM-1
2577 9TH AVE N,NTM-1
2600 9TH AVE N,NTM-1
2529 9TH AVE N,NTM-1
2565 9TH AVE N,NTM-1
2509 9TH AVE N,NTM-1
2625 9TH AVE N,NTM-1
2449 9TH AVE N,NTM-1
2457 9TH AVE N,NTM-1
2322 9TH AVE N,NTM-1
2220 9TH AVE N,NTM-1
2336 9TH AVE N,NTM-1
2300 9TH AVE N,NTM-1
2724 9TH AVE N,NTM-1
2585 9TH AVE N,NTM-1
2626 9TH AVE N,NTM-1
900 YALE ST N,NTM-1
2433 9TH AVE N,NTM-1
2430 9TH AVE N,NTM-1
2232 9TH AVE N,NTM-1
2611 9TH AVE N,NTM-1
2425 9TH AVE N,NTM-1
2595 9TH AVE N,NTM-1
2762 BURLINGTON AVE N,NTM-1
2800 2ND AVE N,NTM-1
2800 DARTMOUTH AVE N,NTM-1
2760 DARTMOUTH AVE N,NTM-1
2801 2ND AVE N,NTM-1
2754 3RD AVE N,NTM-1
2801 BURLINGTON AVE N,NTM-1
2755 4TH AVE N,NTM-1
330 28TH ST N,NTM-1
2763 3RD AVE N,NTM-1
2754 4TH AVE N,NTM-1
2817 DARTMOUTH AVE N,NTM-1
2761 2ND AVE N,NTM-1
2761 BURLINGTON AVE N,NTM-1
2801 3RD AVE N,NTM-1
2800 BURLINGTON AVE N,NTM-1
2811 4TH AVE N,NTM-1
2800 3RD AVE N,NTM-1
2011 2ND AVE N,NTM-1
430 20TH ST N,NTM-1
400 20TH ST N,NTM-1
1961 3RD AVE N,NTM-1
1960 4TH AVE N,NTM-1
2000 4TH AVE N,NTM-1
312 20TH ST N,NTM-1
2001 DARTMOUTH AVE N,NTM-1
2000 3RD AVE N,NTM-1
2003 BURLINGTON AVE N,NTM-1
720 S DR ML KING JR ST ,NTM-1
624 HIGHLAND ST N,NTM-1
841 HIGHLAND ST N,NTM-1
839 7TH AVE N,NTM-1
731 HIGHLAND ST N,NTM-1
807 HIGHLAND ST N,NTM-1
808 9TH AVE N,NTM-1
815 HIGHLAND ST N,NTM-1
735 HIGHLAND ST N,NTM-1
723 HIGHLAND ST N,NTM-1
833 HIGHLAND ST N,NTM-1
845 HIGHLAND ST N,NTM-1
811 HIGHLAND ST N,NTM-1
711 HIGHLAND ST N,NTM-1
819 HIGHLAND ST N,NTM-1
719 HIGHLAND ST N,NTM-1
715 HIGHLAND ST N,NTM-1
825 HIGHLAND ST N,NTM-1
727 HIGHLAND ST N,NTM-1
829 HIGHLAND ST N,NTM-1
707 HIGHLAND ST N,NTM-1
837 HIGHLAND ST N,NTM-1
803 HIGHLAND ST N,NTM-1
832 GROVE ST N,NTM-1
790 9TH AVE N,NTM-1
838 7TH ST N,NTM-1
608 9TH AVE N,NTM-1
838 6TH ST N,NTM-1
609 9TH AVE N,NTM-1
605 9TH AVE N,NTM-1
525 9TH AVE N,NTM-1
527 9TH AVE N,NTM-1
520 9TH AVE N,NTM-1
532 9TH AVE N,NTM-1
555 9TH AVE N,NTM-1
